id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,cluster
512,33,Male,132968,49,10,45,Sports,641.53,1
513,19,Male,82506,10,5,41,Sports,406.32,1
514,69,Female,58668,40,2,15,Home & Garden,626.35,3
515,28,Male,66961,8,10,22,Groceries,179.82,0
516,32,Other,137280,95,6,3,Electronics,31.72,2
517,18,Other,112021,9,3,11,Groceries,588.37,0
518,45,Female,110280,85,4,21,Groceries,944.07,0
519,45,Female,67753,64,4,48,Sports,926.69,1
520,38,Male,54918,1,6,6,Electronics,979.26,2
521,69,Other,78534,100,2,9,Home & Garden,75.03,3
522,29,Female,51471,96,3,13,Home & Garden,668.21,3
523,32,Female,58144,4,5,16,Electronics,923.37,2
524,47,Other,100338,13,9,40,Electronics,48.65,2
525,33,Female,90232,19,2,8,Clothing,255.08,3
526,52,Male,133701,64,1,34,Clothing,534.25,3
527,62,Female,117704,37,3,48,Sports,112.11,1
528,23,Female,144577,75,1,9,Clothing,826.02,3
529,57,Male,139366,39,5,50,Sports,34.5,1
530,27,Male,106944,63,1,28,Sports,36.39,1
531,61,Male,92031,44,7,11,Sports,573.31,1
532,19,Male,146165,38,9,45,Home & Garden,819.92,3
533,36,Other,113794,74,1,27,Sports,377.75,1
534,28,Male,121073,44,3,16,Sports,482.35,1
535,46,Other,61090,3,4,3,Sports,213.68,1
536,62,Female,74474,49,2,18,Sports,933.65,1
537,48,Female,57932,70,9,44,Home & Garden,192.46,3
538,39,Male,49970,53,5,24,Groceries,728.58,0
539,27,Male,73823,11,8,23,Electronics,27.4,2
540,36,Male,37595,88,8,49,Groceries,600.48,0
541,33,Female,103063,16,3,4,Electronics,998.51,2
542,69,Other,86860,70,1,1,Clothing,812.25,3
543,68,Female,40478,22,4,46,Groceries,954.91,0
544,66,Female,126893,3,1,32,Clothing,199.17,3
545,23,Female,123168,80,4,19,Clothing,860.95,3
546,44,Other,112137,37,7,18,Groceries,769.16,0
547,60,Other,108533,23,9,24,Electronics,506.98,2
548,22,Female,93861,42,6,6,Home & Garden,73.13,3
549,39,Male,30004,32,6,48,Sports,863.47,1
550,53,Male,47499,85,2,45,Sports,338.69,1
551,50,Male,43965,83,3,17,Electronics,83.38,2
552,20,Male,51199,100,5,5,Clothing,889.83,3
553,69,Male,51759,18,9,14,Sports,563.48,1
554,61,Female,54256,78,3,3,Home & Garden,886.44,3
555,66,Other,53345,100,4,22,Sports,221.75,1
556,25,Female,52403,53,1,14,Groceries,73.34,0
557,45,Male,95367,83,5,30,Home & Garden,845.33,3
558,40,Male,62536,84,4,28,Sports,149.07,1
559,33,Male,121639,17,7,28,Home & Garden,422.14,3
560,63,Male,82296,61,4,43,Home & Garden,390.89,3
561,61,Other,137276,92,5,8,Groceries,482.77,0
562,18,Male,143235,46,10,31,Groceries,143.75,0
563,23,Male,143899,10,3,47,Groceries,361.81,0
564,56,Other,134923,18,3,31,Electronics,515.16,2
565,68,Other,106635,85,10,30,Electronics,854.95,2
566,29,Male,60262,56,4,27,Clothing,452.32,3
567,22,Other,92601,75,7,49,Electronics,120.76,2
568,45,Female,41917,58,8,5,Home & Garden,870.38,3
569,29,Female,59815,43,6,24,Groceries,105.48,0
570,18,Other,94701,69,8,48,Clothing,760.34,3
571,36,Female,31458,40,4,6,Electronics,371.77,2
572,19,Male,134193,95,7,44,Electronics,97.65,2
573,40,Female,143338,6,8,26,Groceries,491.07,0
574,48,Other,93084,30,7,5,Clothing,480.55,3
575,49,Male,55027,62,2,1,Clothing,962.9,3
576,51,Female,149256,96,1,31,Electronics,266.83,2
577,32,Female,46610,92,5,9,Groceries,409.85,0
578,64,Male,43175,59,10,35,Electronics,363.86,2
579,21,Female,71227,17,10,12,Electronics,101.48,2
580,51,Female,149744,99,1,12,Groceries,215.92,0
581,46,Male,129568,56,10,27,Clothing,766.26,3
582,19,Male,135968,50,4,49,Electronics,174.43,2
583,33,Male,38240,92,3,37,Home & Garden,626.82,3
584,30,Male,114808,23,9,6,Clothing,74.08,3
585,51,Female,37310,6,5,14,Sports,706.18,1
586,62,Other,147903,79,5,22,Electronics,203.15,2
587,20,Other,61541,80,2,14,Groceries,48.5,0
588,47,Other,55753,69,5,40,Home & Garden,772.89,3
589,29,Other,80868,33,6,15,Clothing,865.65,3
590,33,Male,93599,22,4,37,Sports,274.96,1
591,53,Male,108263,21,1,47,Electronics,734.48,2
592,22,Male,100730,4,5,10,Sports,459.58,1
593,62,Female,148501,41,9,32,Sports,980.47,1
594,29,Other,98150,42,9,34,Sports,324.11,1
595,28,Other,61870,100,6,3,Groceries,728.67,0
596,46,Male,73370,2,4,29,Home & Garden,486.5,3
597,50,Male,132598,57,7,21,Home & Garden,930.91,3
598,56,Other,55695,58,7,30,Electronics,435.76,2
599,41,Other,69204,95,4,28,Clothing,936.04,3
600,52,Male,127010,76,8,26,Sports,13.46,1
601,53,Female,137854,33,10,47,Groceries,523.27,0
602,20,Male,145924,64,5,18,Electronics,495.49,2
603,33,Female,53219,33,4,47,Clothing,251.23,3
604,47,Male,64592,25,4,12,Home & Garden,237.34,3
605,18,Female,144275,69,9,27,Electronics,141.72,2
606,39,Male,48641,45,3,46,Home & Garden,415.19,3
607,30,Male,102200,88,5,47,Home & Garden,131.84,3
608,41,Other,67215,34,3,30,Home & Garden,460.25,3
609,53,Other,96499,29,4,5,Electronics,744.11,2
610,23,Female,83912,28,6,31,Home & Garden,98.32,3
611,42,Female,63444,72,4,40,Home & Garden,166.45,3
612,33,Female,38271,39,10,43,Electronics,99.52,2
613,60,Other,53295,73,3,5,Home & Garden,642.3,3
614,64,Female,116106,5,1,5,Clothing,25.86,3
615,69,Male,141965,98,5,35,Electronics,616.66,2
616,43,Male,38012,55,3,24,Groceries,943.37,0
617,29,Other,83172,51,8,1,Clothing,906.75,3
618,53,Other,62024,13,2,39,Sports,66.6,1
619,29,Other,88288,39,5,50,Groceries,803.87,0
620,53,Other,50215,92,6,48,Sports,814.52,1
621,20,Male,122028,40,3,6,Electronics,777.44,2
622,33,Other,102269,26,8,47,Sports,356.67,1
623,30,Female,97829,99,4,27,Clothing,320.95,3
624,59,Other,66196,37,9,44,Clothing,483.66,3
625,41,Male,36763,50,5,36,Home & Garden,490.62,3
626,19,Male,138008,8,9,15,Groceries,116.8,0
627,27,Female,96762,22,3,10,Electronics,551.43,2
628,39,Other,108744,63,2,23,Sports,411.86,1
629,65,Male,84223,83,7,46,Groceries,971.93,0
630,64,Female,145746,76,2,48,Home & Garden,49.06,3
631,47,Female,108766,37,7,38,Groceries,640.55,0
632,29,Female,72125,41,5,31,Sports,507.62,1
633,43,Female,97989,14,6,49,Electronics,886.61,2
634,51,Other,143678,50,8,23,Electronics,916.04,2
635,23,Female,122669,15,3,4,Electronics,248.68,2
636,24,Female,93266,20,1,4,Clothing,636.29,3
637,52,Other,85267,6,5,2,Home & Garden,704.32,3
638,34,Female,60489,95,3,38,Home & Garden,304.86,3
639,68,Male,57700,70,8,46,Groceries,178.21,0
640,57,Male,97035,28,6,42,Home & Garden,741.41,3
641,59,Other,141667,28,4,5,Sports,204.25,1
642,34,Female,114408,38,7,28,Electronics,647.35,2
643,64,Female,92888,2,7,50,Sports,84.98,1
644,54,Male,132403,83,3,2,Sports,45.2,1
645,67,Other,115578,10,1,36,Groceries,646.16,0
646,62,Male,113856,78,6,50,Electronics,720.47,2
647,24,Other,122371,11,2,4,Electronics,838.19,2
648,43,Female,67979,49,2,6,Groceries,420.03,0
649,27,Male,147360,96,3,26,Sports,26.1,1
650,47,Other,88268,32,8,27,Groceries,686.5,0
651,27,Female,113174,36,3,46,Electronics,499.07,2
652,32,Other,95862,34,6,41,Electronics,65.15,2
653,41,Male,140959,35,7,14,Home & Garden,232.42,3
654,48,Male,82356,97,1,35,Sports,204.55,1
655,45,Other,47989,70,6,9,Groceries,218.77,0
656,33,Other,65142,45,10,42,Clothing,132.6,3
657,27,Male,81110,44,6,8,Electronics,654.05,2
658,61,Male,145578,79,2,34,Clothing,762.06,3
659,35,Other,116378,38,10,11,Clothing,79.27,3
660,54,Female,89035,14,4,11,Sports,138.81,1
661,69,Female,34122,50,4,27,Sports,758.44,1
662,66,Other,38652,40,10,7,Home & Garden,566.59,3
663,30,Female,76658,70,3,32,Groceries,760.27,0
664,56,Other,30492,47,5,6,Groceries,725.26,0
665,37,Male,105623,26,5,47,Home & Garden,94.79,3
666,31,Other,85972,62,9,25,Sports,914.63,1
667,29,Female,135394,53,9,36,Clothing,30.13,3
668,27,Female,48576,29,7,29,Sports,976.83,1
669,52,Male,87717,79,6,44,Clothing,95.17,3
670,55,Other,59108,36,6,31,Home & Garden,900.16,3
671,34,Male,54274,27,2,17,Home & Garden,954.46,3
672,30,Male,94803,76,6,33,Home & Garden,596.98,3
673,47,Female,40790,36,1,4,Clothing,913.84,3
674,32,Other,41072,14,5,39,Electronics,981.04,2
675,64,Female,67704,12,6,17,Home & Garden,126.15,3
676,64,Female,48169,39,5,33,Groceries,451.86,0
677,51,Female,146159,99,7,38,Groceries,808.89,0
678,63,Other,56374,60,4,45,Home & Garden,943.5,3
679,46,Female,112770,6,10,27,Sports,559.73,1
680,36,Other,106345,98,7,49,Clothing,55.21,3
681,49,Other,115974,95,8,22,Electronics,143.0,2
682,61,Male,136973,27,7,2,Electronics,269.2,2
683,27,Female,89855,54,10,37,Home & Garden,750.51,3
684,42,Male,56378,8,9,18,Clothing,880.45,3
685,37,Male,104041,64,9,49,Home & Garden,117.52,3
686,30,Male,115674,78,2,48,Clothing,621.73,3
687,59,Male,65196,22,2,36,Home & Garden,625.33,3
688,30,Male,94970,15,4,11,Sports,250.07,1
689,69,Other,45024,38,5,11,Clothing,830.03,3
690,39,Female,141586,50,4,46,Clothing,659.67,3
691,53,Other,84686,93,8,1,Groceries,109.54,0
692,23,Male,57558,28,6,23,Electronics,800.78,2
693,28,Female,142450,80,3,22,Groceries,471.87,0
694,64,Male,32144,76,2,28,Sports,902.66,1
695,45,Male,53474,79,8,21,Electronics,40.32,2
696,61,Male,89720,4,9,8,Groceries,795.49,0
697,36,Female,114281,99,7,6,Sports,217.78,1
698,33,Other,36577,28,4,1,Electronics,612.54,2
699,55,Other,53164,64,2,19,Clothing,932.41,3
700,31,Male,33604,8,5,2,Electronics,984.15,2
701,31,Male,148121,34,9,32,Groceries,753.49,0
702,26,Female,42499,92,9,50,Electronics,37.57,2
703,26,Female,56466,61,3,12,Home & Garden,358.22,3
704,52,Female,58805,14,2,47,Sports,104.35,1
705,42,Male,49140,23,9,35,Clothing,400.23,3
706,29,Female,102972,68,3,39,Clothing,258.09,3
707,47,Female,128439,42,5,22,Sports,219.02,1
708,68,Male,47482,100,9,49,Clothing,170.56,3
709,44,Female,118123,40,8,31,Clothing,140.52,3
710,43,Female,43545,67,5,41,Electronics,179.71,2
711,43,Other,51398,12,4,26,Sports,117.85,1
712,18,Male,141318,37,6,28,Home & Garden,428.33,3
713,19,Female,76416,26,6,20,Electronics,385.1,2
714,30,Male,100115,54,2,36,Sports,789.67,1
715,43,Other,67912,71,10,35,Electronics,698.03,2
716,48,Female,74273,23,10,46,Sports,626.27,1
717,47,Male,136278,76,10,48,Clothing,233.64,3
718,57,Female,108833,77,3,37,Home & Garden,623.78,3
719,21,Female,119226,21,8,50,Sports,772.63,1
720,69,Other,72651,58,5,30,Electronics,103.11,2
721,27,Male,114848,66,10,38,Groceries,912.58,0
722,45,Male,127989,99,1,42,Home & Garden,683.99,3
723,20,Male,48504,27,3,28,Groceries,658.54,0
724,21,Other,114762,28,3,7,Sports,397.54,1
725,48,Female,108563,3,8,39,Clothing,15.72,3
726,40,Other,105994,39,9,17,Home & Garden,347.21,3
727,18,Other,84764,2,6,49,Home & Garden,348.51,3
728,28,Other,53503,39,5,30,Groceries,591.64,0
729,50,Male,86985,77,8,11,Sports,964.1,1
730,19,Male,85349,77,8,29,Home & Garden,381.04,3
731,53,Female,52855,12,5,33,Groceries,444.09,0
732,29,Other,66264,85,2,8,Electronics,743.3,2
733,49,Male,56707,6,8,29,Electronics,604.53,2
734,23,Other,66886,7,6,40,Electronics,322.64,2
735,38,Other,115537,10,7,25,Clothing,632.99,3
736,52,Female,130875,76,10,14,Clothing,979.39,3
737,28,Male,104971,74,4,10,Clothing,297.17,3
738,18,Female,136320,52,5,42,Electronics,891.19,2
739,61,Male,113380,27,2,17,Electronics,177.5,2
740,62,Female,119083,18,4,28,Electronics,317.78,2
741,50,Female,50944,24,3,36,Electronics,121.22,2
742,45,Other,30738,38,7,5,Home & Garden,144.0,3
743,64,Male,132277,81,5,30,Sports,505.24,1
744,56,Male,90816,20,10,35,Electronics,808.16,2
745,30,Female,64288,93,9,43,Groceries,825.85,0
746,60,Male,34657,99,10,3,Electronics,983.3,2
747,26,Male,44725,40,10,17,Groceries,307.42,0
748,57,Female,58696,69,4,29,Groceries,570.87,0
749,22,Male,73023,30,1,19,Home & Garden,661.7,3
750,41,Other,74985,68,8,21,Electronics,123.96,2
751,63,Male,37201,60,6,46,Groceries,90.96,0
752,31,Male,85928,10,2,40,Home & Garden,34.1,3
753,28,Other,129367,4,1,44,Electronics,559.61,2
754,52,Male,49342,77,7,29,Groceries,622.86,0
755,61,Male,59583,11,8,27,Clothing,744.56,3
756,30,Female,111050,61,10,32,Electronics,213.88,2
757,19,Female,129687,78,3,43,Home & Garden,679.67,3
758,35,Male,94896,36,6,4,Home & Garden,102.23,3
759,64,Other,130443,29,1,17,Home & Garden,835.67,3
760,27,Male,80545,63,6,46,Sports,575.98,1
761,47,Male,112510,1,2,10,Home & Garden,618.2,3
762,57,Male,145190,42,9,8,Sports,971.83,1
763,63,Male,115204,12,2,19,Home & Garden,910.59,3
764,61,Female,116123,96,2,27,Sports,844.95,1
765,40,Other,108344,87,2,13,Electronics,892.28,2
766,41,Other,74198,84,1,50,Clothing,60.51,3
767,45,Other,62582,1,6,46,Clothing,298.11,3
768,33,Other,92798,80,3,44,Groceries,367.85,0
769,19,Male,85583,61,5,43,Sports,316.35,1
770,61,Male,32692,18,8,28,Groceries,709.33,0
771,55,Other,53069,3,10,43,Clothing,777.97,3
772,26,Female,79842,78,9,5,Clothing,557.41,3
773,51,Female,70099,42,7,12,Groceries,481.56,0
774,52,Male,52167,19,5,50,Home & Garden,961.55,3
775,24,Male,51225,21,6,31,Sports,235.64,1
776,31,Female,123947,25,2,39,Groceries,355.67,0
777,19,Other,45781,93,6,43,Sports,412.99,1
778,46,Female,78023,83,7,28,Sports,270.15,1
779,56,Other,43031,56,2,15,Electronics,830.79,2
780,65,Other,80686,2,8,30,Sports,491.8,1
781,53,Male,147355,10,2,38,Home & Garden,866.3,3
782,22,Male,118840,32,9,9,Electronics,819.14,2
783,39,Other,71987,42,5,35,Clothing,196.61,3
784,47,Other,64229,74,5,22,Groceries,438.95,0
785,45,Female,88366,22,10,24,Electronics,253.64,2
786,30,Male,43192,61,1,27,Sports,614.39,1
787,57,Other,56547,65,10,43,Groceries,686.83,0
788,33,Male,38558,71,8,22,Home & Garden,223.73,3
789,25,Female,52575,77,5,13,Clothing,112.22,3
790,61,Male,96409,66,1,32,Sports,674.93,1
791,59,Female,97756,89,6,3,Home & Garden,318.74,3
792,18,Other,140475,38,8,7,Sports,442.42,1
793,63,Female,123481,26,1,26,Home & Garden,386.51,3
794,50,Male,103921,58,2,3,Electronics,687.32,2
795,33,Female,45432,11,4,42,Electronics,990.34,2
796,47,Male,92114,17,7,8,Home & Garden,997.15,3
797,47,Male,86651,54,3,49,Home & Garden,678.41,3
798,68,Other,44597,3,1,36,Sports,743.73,1
799,25,Male,107042,27,1,32,Clothing,648.79,3
800,35,Other,114874,40,3,15,Sports,333.55,1
801,61,Other,69791,33,8,1,Sports,165.39,1
802,51,Male,107033,96,3,42,Groceries,992.17,0
803,64,Male,127745,72,2,11,Groceries,192.17,0
804,59,Female,58656,47,6,6,Groceries,246.07,0
805,51,Female,97660,3,7,30,Sports,145.66,1
806,49,Male,69864,92,10,25,Groceries,522.78,0
807,24,Male,68172,6,1,28,Clothing,445.3,3
808,33,Male,127302,43,1,40,Groceries,785.52,0
809,46,Other,91845,35,8,49,Electronics,537.23,2
810,35,Male,83547,27,7,40,Electronics,570.08,2
811,27,Female,78001,50,5,17,Home & Garden,117.03,3
812,53,Other,76842,73,6,35,Home & Garden,701.61,3
813,19,Male,68304,9,10,28,Sports,864.57,1
814,56,Other,145028,2,10,32,Home & Garden,849.56,3
815,53,Female,58486,87,8,23,Home & Garden,409.35,3
816,50,Other,143612,71,9,28,Groceries,372.69,0
817,37,Female,115734,87,2,50,Groceries,646.4,0
818,69,Male,129445,32,3,6,Home & Garden,42.19,3
819,46,Other,58692,2,9,22,Home & Garden,230.66,3
820,52,Other,73723,69,10,19,Sports,321.92,1
821,41,Other,37547,72,3,24,Groceries,897.46,0
822,26,Female,34901,31,7,9,Groceries,667.8,0
823,69,Male,85068,54,6,24,Sports,846.68,1
824,38,Female,81244,57,5,3,Home & Garden,301.59,3
825,30,Female,121358,16,1,2,Electronics,122.7,2
826,48,Male,111795,41,9,17,Groceries,116.19,0
827,62,Other,88975,58,6,24,Sports,921.21,1
828,34,Male,43316,72,7,13,Electronics,274.88,2
829,37,Male,112949,33,8,40,Home & Garden,424.07,3
830,28,Male,136418,17,5,17,Home & Garden,765.53,3
831,43,Female,76811,26,1,33,Home & Garden,836.5,3
832,69,Other,81964,22,1,3,Home & Garden,839.2,3
833,43,Female,85487,71,7,49,Sports,625.26,1
834,38,Male,101111,98,8,35,Clothing,738.01,3
835,41,Female,68147,75,2,33,Groceries,553.35,0
836,30,Other,42089,29,3,3,Home & Garden,536.52,3
837,69,Female,106629,4,7,9,Groceries,443.22,0
838,57,Male,98928,80,3,33,Electronics,934.98,2
839,43,Male,90687,9,5,24,Sports,531.25,1
840,58,Female,68764,96,6,31,Groceries,723.66,0
841,40,Male,125996,64,6,15,Clothing,583.95,3
842,33,Female,96916,23,6,12,Sports,373.49,1
843,50,Other,149578,28,2,39,Home & Garden,839.34,3
844,43,Male,140638,62,10,18,Home & Garden,78.52,3
845,45,Female,57615,30,5,15,Electronics,998.09,2
846,60,Other,61376,97,8,9,Electronics,793.84,2
847,22,Male,134801,47,1,49,Groceries,292.92,0
848,60,Other,111784,31,1,14,Clothing,122.12,3
849,56,Female,86142,87,7,8,Sports,291.96,1
850,48,Female,126398,19,1,18,Clothing,311.08,3
851,51,Other,59566,25,5,22,Groceries,847.03,0
852,64,Female,63123,88,1,16,Groceries,330.95,0
853,22,Other,120644,75,1,4,Clothing,456.11,3
854,27,Female,40595,84,6,15,Groceries,268.76,0
855,18,Male,30102,35,2,6,Sports,739.27,1
856,45,Other,135627,67,2,46,Groceries,524.16,0
857,19,Female,90561,75,10,23,Home & Garden,866.23,3
858,67,Male,115470,56,4,6,Clothing,151.74,3
859,22,Male,62752,2,10,22,Electronics,469.36,2
860,22,Male,46866,3,7,46,Electronics,737.44,2
861,21,Other,145884,3,4,25,Home & Garden,676.93,3
862,20,Male,79899,64,7,46,Clothing,129.9,3
863,42,Other,77292,73,10,43,Groceries,787.66,0
864,41,Male,92371,28,10,48,Electronics,594.96,2
865,57,Other,106632,26,1,17,Groceries,610.98,0
866,22,Male,48068,57,2,24,Electronics,683.02,2
867,68,Other,35122,72,6,33,Sports,983.84,1
868,51,Other,83467,83,1,19,Clothing,30.88,3
869,49,Female,61376,47,5,16,Home & Garden,241.25,3
870,57,Other,112212,6,6,44,Home & Garden,312.64,3
871,57,Female,128481,86,10,40,Home & Garden,727.15,3
872,63,Male,33546,18,9,31,Sports,191.8,1
873,42,Female,127546,54,1,31,Clothing,484.72,3
874,35,Male,121037,70,1,28,Groceries,304.08,0
875,25,Female,76606,99,10,32,Home & Garden,472.4,3
876,60,Other,120195,68,9,26,Sports,600.21,1
877,51,Female,127950,27,3,45,Home & Garden,412.76,3
878,45,Female,51646,61,5,41,Home & Garden,246.41,3
879,51,Male,80995,68,1,18,Sports,863.54,1
880,59,Other,97355,63,2,22,Groceries,329.18,0
881,47,Female,133264,93,2,21,Groceries,11.01,0
882,61,Male,49557,22,6,12,Clothing,678.13,3
883,62,Other,97909,100,1,5,Home & Garden,439.63,3
884,50,Female,59695,70,5,6,Clothing,241.99,3
885,58,Other,149723,70,9,23,Electronics,374.59,2
886,26,Other,113532,70,7,28,Sports,679.69,1
887,60,Male,98882,38,2,28,Groceries,940.14,0
888,29,Male,149973,2,2,19,Groceries,437.1,0
889,33,Other,146269,92,6,10,Sports,486.86,1
890,60,Other,73059,77,3,31,Clothing,581.15,3
891,22,Other,87909,19,7,39,Sports,20.52,1
892,66,Other,40932,5,1,48,Sports,546.06,1
893,24,Female,60763,92,5,29,Home & Garden,320.7,3
894,63,Other,119492,25,8,40,Sports,758.1,1
895,27,Male,128640,3,5,2,Home & Garden,140.52,3
896,53,Male,137307,34,1,26,Sports,952.12,1
897,32,Male,81701,96,9,49,Electronics,77.45,2
898,64,Other,82140,57,3,7,Home & Garden,97.97,3
899,48,Male,134463,32,2,7,Electronics,535.1,2
900,52,Female,41544,1,10,46,Home & Garden,720.52,3
901,57,Female,135440,46,8,3,Home & Garden,442.46,3
902,55,Female,72193,39,2,6,Home & Garden,207.44,3
903,33,Other,106771,23,7,3,Sports,609.8,1
904,64,Female,122557,87,2,5,Groceries,344.59,0
905,64,Male,139658,77,6,26,Sports,71.97,1
906,25,Male,130604,100,4,41,Electronics,355.45,2
907,62,Other,113706,19,1,13,Home & Garden,427.68,3
908,59,Other,141567,27,8,30,Sports,95.96,1
909,27,Female,89618,49,8,12,Groceries,831.05,0
910,55,Other,45562,68,3,30,Groceries,628.34,0
911,66,Female,55154,93,3,19,Electronics,684.88,2
912,54,Male,69676,9,7,30,Clothing,932.68,3
913,38,Male,45551,100,10,22,Electronics,99.63,2
914,55,Male,109314,72,10,47,Electronics,438.97,2
915,18,Other,69502,83,6,32,Sports,236.83,1
916,26,Male,131020,23,7,22,Groceries,844.88,0
917,49,Other,30523,83,4,38,Electronics,564.48,2
918,36,Female,45458,74,6,19,Groceries,135.23,0
919,28,Other,57107,82,5,2,Home & Garden,271.17,3
920,60,Other,44555,84,7,28,Electronics,678.42,2
921,66,Male,122436,73,7,47,Home & Garden,666.62,3
922,58,Male,105157,51,3,27,Clothing,344.39,3
923,68,Male,107702,73,4,2,Sports,136.03,1
924,20,Male,88778,56,2,28,Groceries,240.93,0
925,53,Other,32539,22,6,42,Home & Garden,536.06,3
926,39,Female,53091,41,9,3,Groceries,12.45,0
927,46,Other,46368,11,7,17,Home & Garden,869.05,3
928,28,Male,134592,43,10,25,Clothing,557.04,3
929,35,Male,48768,43,2,5,Electronics,746.74,2
930,42,Other,128064,8,8,44,Groceries,316.5,0
931,59,Male,48329,6,8,26,Home & Garden,36.76,3
932,31,Other,30969,32,9,11,Sports,562.47,1
933,18,Male,117893,84,3,24,Electronics,413.27,2
934,47,Male,138152,53,2,38,Groceries,129.08,0
935,48,Other,129592,2,3,26,Clothing,748.46,3
936,51,Male,148784,17,1,50,Home & Garden,302.81,3
937,43,Female,42201,76,1,50,Home & Garden,106.48,3
938,64,Other,65498,23,5,24,Clothing,351.94,3
939,37,Male,70213,84,3,37,Home & Garden,785.53,3
940,56,Female,51736,3,9,25,Home & Garden,666.01,3
941,54,Male,33706,64,9,1,Clothing,371.93,3
942,36,Male,33087,69,7,21,Sports,651.8,1
943,54,Female,140081,100,1,25,Electronics,30.51,2
944,47,Other,37014,76,5,34,Electronics,880.18,2
945,65,Male,42779,81,5,38,Clothing,594.92,3
946,59,Male,149936,80,7,37,Groceries,406.6,0
947,60,Other,111493,40,10,8,Groceries,190.34,0
948,21,Other,117520,34,3,32,Sports,256.98,1
949,62,Other,128667,37,5,17,Sports,150.62,1
950,45,Other,114390,38,3,9,Groceries,663.25,0
951,41,Other,134487,7,10,50,Electronics,556.1,2
952,29,Female,45164,54,8,45,Groceries,915.62,0
953,51,Male,104830,43,9,36,Sports,593.92,1
954,44,Male,123822,20,4,8,Electronics,209.75,2
955,30,Male,50661,89,9,22,Sports,630.37,1
956,60,Other,48802,68,1,40,Groceries,296.76,0
957,60,Female,56429,69,9,32,Groceries,894.95,0
958,26,Female,41126,37,9,44,Clothing,100.64,3
959,38,Female,99054,59,6,4,Groceries,174.22,0
960,61,Female,50349,76,9,42,Clothing,957.5,3
961,23,Female,60808,96,2,12,Home & Garden,231.03,3
962,60,Male,98537,71,9,45,Groceries,725.67,0
963,66,Female,72885,1,9,33,Groceries,654.48,0
964,26,Other,109221,91,2,44,Sports,660.05,1
965,49,Other,94218,4,10,5,Electronics,287.36,2
966,58,Other,133888,92,10,14,Home & Garden,628.3,3
967,46,Female,67361,80,6,25,Sports,350.08,1
968,23,Female,74773,16,2,42,Groceries,626.05,0
969,61,Other,38209,79,8,40,Sports,724.23,1
970,68,Female,40471,28,3,33,Groceries,40.89,0
971,58,Female,51913,14,4,21,Home & Garden,733.63,3
972,41,Male,120294,79,5,44,Clothing,942.03,3
973,43,Male,130645,34,10,5,Groceries,833.69,0
974,48,Other,75118,84,6,41,Electronics,711.37,2
975,49,Female,79546,26,5,12,Home & Garden,935.73,3
976,30,Male,54930,12,9,13,Electronics,724.88,2
977,37,Male,100314,71,5,19,Groceries,692.74,0
978,45,Female,91381,48,8,16,Sports,253.13,1
979,66,Female,74055,100,6,17,Sports,318.7,1
980,45,Female,135047,11,9,42,Clothing,422.93,3
981,30,Male,117373,32,1,49,Home & Garden,129.35,3
982,59,Other,87884,79,9,28,Groceries,491.55,0
983,68,Female,117203,76,7,38,Electronics,363.94,2
984,51,Other,91682,27,9,49,Electronics,990.87,2
985,35,Other,82057,66,4,9,Sports,683.93,1
986,66,Other,78149,2,10,9,Home & Garden,579.27,3
987,22,Male,80049,1,10,47,Sports,16.97,1
988,26,Male,148451,78,5,14,Groceries,99.19,0
989,26,Male,45147,93,1,32,Home & Garden,750.58,3
990,31,Other,45695,36,2,31,Electronics,864.67,2
991,21,Other,80264,41,4,26,Sports,458.93,1
992,53,Other,83578,97,5,50,Sports,917.08,1
993,22,Female,125479,57,8,27,Home & Garden,139.75,3
994,29,Female,64799,42,5,19,Electronics,967.26,2
995,60,Male,71923,25,2,40,Clothing,986.97,3
996,57,Male,112170,57,6,1,Clothing,313.64,3
997,23,Other,65337,76,10,23,Groceries,632.83,0
998,23,Male,113097,40,5,42,Sports,75.09,1
999,22,Female,113695,63,7,44,Electronics,505.16,2
1000,36,Female,90420,7,2,31,Groceries,669.26,0
